learning_mode,model,file_name,file_path,UCE,OGE,UGE,NNE,DTE,MGE,total_hallucinations
fewshot,qwen,201508,fewshot/qwen/201508.txt,0,0,2,0,0,3,5
oneshot,chatgpt,201508,oneshot/chatgpt/201508.txt,0,0,3,1,0,7,11
oneshot,llama,201508,oneshot/llama/201508.txt,0,0,10,3,1,16,30
oneshot,qwen,201508,oneshot/qwen/201508.txt,0,0,7,3,0,12,22
zeroshot,chatgpt,201508,zeroshot/chatgpt/201508.txt,0,0,5,1,0,7,13
zeroshot,llama,201508,zeroshot/llama/201508.txt,0,0,10,3,2,22,37
zeroshot,qwen,201508,zeroshot/qwen/201508.txt,0,0,9,3,0,12,24
fewshot,chatgpt,201603,fewshot/chatgpt/201603.txt,0,0,0,0,1,4,5
fewshot,llama,201603,fewshot/llama/201603.txt,0,0,0,0,0,4,4
fewshot,qwen,201603,fewshot/qwen/201603.txt,0,0,1,0,2,5,8
oneshot,chatgpt,201603,oneshot/chatgpt/201603.txt,0,0,1,0,0,6,7
oneshot,llama,201603,oneshot/llama/201603.txt,0,1,5,2,3,14,25
oneshot,qwen,201603,oneshot/qwen/201603.txt,0,1,3,0,1,6,11
zeroshot,chatgpt,201603,zeroshot/chatgpt/201603.txt,0,1,1,0,0,6,8
zeroshot,llama,201603,zeroshot/llama/201603.txt,0,1,5,2,4,18,30
zeroshot,qwen,201603,zeroshot/qwen/201603.txt,0,1,4,2,2,12,21
fewshot,chatgpt,201604,fewshot/chatgpt/201604.txt,0,0,0,0,1,1,2
fewshot,llama,201604,fewshot/llama/201604.txt,0,0,0,0,2,5,7
fewshot,qwen,201604,fewshot/qwen/201604.txt,0,0,0,0,1,4,5
oneshot,chatgpt,201604,oneshot/chatgpt/201604.txt,0,0,0,0,3,6,9
oneshot,llama,201604,oneshot/llama/201604.txt,0,0,1,1,5,9,16
oneshot,qwen,201604,oneshot/qwen/201604.txt,0,0,1,1,4,7,13
zeroshot,chatgpt,201604,zeroshot/chatgpt/201604.txt,0,0,1,0,4,6,11
zeroshot,llama,201604,zeroshot/llama/201604.txt,0,0,1,1,6,13,21
zeroshot,qwen,201604,zeroshot/qwen/201604.txt,0,0,1,1,5,8,15
fewshot,chatgpt,201612,fewshot/chatgpt/201612.txt,0,0,2,0,0,0,2
fewshot,llama,201612,fewshot/llama/201612.txt,0,0,3,0,0,10,13
fewshot,qwen,201612,fewshot/qwen/201612.txt,0,0,3,0,0,5,8
oneshot,chatgpt,201612,oneshot/chatgpt/201612.txt,0,0,3,0,0,14,17
oneshot,llama,201612,oneshot/llama/201612.txt,1,0,4,0,2,51,58
oneshot,qwen,201612,oneshot/qwen/201612.txt,0,0,4,0,1,28,33
zeroshot,chatgpt,201612,zeroshot/chatgpt/201612.txt,0,0,4,0,1,19,24
zeroshot,llama,201612,zeroshot/llama/201612.txt,1,0,4,0,2,57,64
zeroshot,qwen,201612,zeroshot/qwen/201612.txt,0,0,4,0,2,39,45
fewshot,chatgpt,201707,fewshot/chatgpt/201707.txt,0,0,0,0,0,2,2
fewshot,llama,201707,fewshot/llama/201707.txt,0,0,0,0,0,9,9
fewshot,qwen,201707,fewshot/qwen/201707.txt,0,0,0,0,0,6,6
oneshot,chatgpt,201707,oneshot/chatgpt/201707.txt,0,0,0,0,0,11,11
oneshot,llama,201707,oneshot/llama/201707.txt,1,0,6,0,3,29,39
oneshot,qwen,201707,oneshot/qwen/201707.txt,0,0,3,0,3,19,25
zeroshot,chatgpt,201707,zeroshot/chatgpt/201707.txt,0,0,1,0,1,13,15
zeroshot,llama,201707,zeroshot/llama/201707.txt,2,0,8,2,3,31,46
