model,learning_mode,file_name,file_path,reference_file,BLEU,METEOR,ROUGE-W,BERTScore-P,BERTScore-R,BERT-F1,sum,rank
qwen,fewshot,201710,../generate_summray/fewshot/qwen/201710.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201710.txt,0.39189932416429646,0.2444391659095241,0.7326732623860406,0.8394101858139038,0.8392302989959717,0.8393202424049377,3.8869724796746743,231
chatgpt,fewshot,201710,../generate_summray/fewshot/chatgpt/201710.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201710.txt,0.3283699938745631,0.4114116131250279,0.7894736792120653,0.8541790843009949,0.874140739,0.8640446066856384,4.1216197166392075,98
llama,oneshot,201802,../generate_summray/oneshot/llama/201802.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201802.txt,0.5805202109588954,0.2599898411222663,0.7835051496397067,0.8440917730331421,0.833815336,0.8389220833778381,4.140844394359266,92
qwen,oneshot,201802,../generate_summray/oneshot/qwen/201802.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201802.txt,0.5628585265283157,0.27395460723071574,0.7326732623389864,0.8431333303451538,0.8456345796585083,0.844382107,4.102636413359523,104
chatgpt,oneshot,201802,../generate_summray/oneshot/chatgpt/201802.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201802.txt,0.5014651167063344,0.46076970025592834,0.8932038785182393,0.8801676034927368,0.8925425410270691,0.8863118886947632,4.514460728695071,1
llama,zeroshot,201802,../generate_summray/zeroshot/llama/201802.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201802.txt,0.5200484372851045,0.27657877140133474,0.6823529362602077,0.8582821488380432,0.8439314961433411,0.8510463237762451,4.032240113704276,150
qwen,zeroshot,201802,../generate_summray/zeroshot/qwen/201802.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201802.txt,0.3113363833497258,0.16092695342238492,0.7111111061333335,0.8546227812767029,0.8282632827758789,0.8412365317344666,3.7074970386924924,262
chatgpt,zeroshot,201802,../generate_summray/zeroshot/chatgpt/201802.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201802.txt,0.6055739079944064,0.32096375782298575,0.7999999950080001,0.8809249401092529,0.8740622997283936,0.8774802088737488,4.359005109536787,23
llama,fewshot,201802,../generate_summray/fewshot/llama/201802.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201802.txt,0.5989326161892734,0.3413780439880462,0.8541666616666668,0.8688097596168518,0.8626621961593628,0.8657249808311462,4.3916742584513475,15
qwen,fewshot,201802,../generate_summray/fewshot/qwen/201802.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201802.txt,0.6308142012606297,0.29672943124074797,0.7628865929386759,0.870218039,0.8630846738815308,0.8666366934776306,4.290369631358175,36
chatgpt,fewshot,201802,../generate_summray/fewshot/chatgpt/201802.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201802.txt,0.5336484806532705,0.4417461745970902,0.8076923027218935,0.8785713911056519,0.8900281190872192,0.8842626214027405,4.435949089567866,7
llama,oneshot,201803,../generate_summray/oneshot/llama/201803.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201803.txt,0.6049011807855964,0.43497881608783856,0.7692307642769971,0.8954243063926697,0.8833199143409729,0.8893309235572815,4.477185905441356,5
qwen,oneshot,201803,../generate_summray/oneshot/qwen/201803.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201803.txt,0.5477517483246512,0.272466221,0.7169811271039516,0.8480120897293091,0.8383269309997559,0.8431417346000671,4.066679852,128
chatgpt,oneshot,201803,../generate_summray/oneshot/chatgpt/201803.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201803.txt,0.37689936691894704,0.406550428,0.8275862018980382,0.861484945,0.8698657751083374,0.8656551241874695,4.208041841106828,64
llama,zeroshot,201803,../generate_summray/zeroshot/llama/201803.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201803.txt,0.47983600628105827,0.22216637395481498,0.6122448930924614,0.8309424519538879,0.8181132078170776,0.8244778513908386,3.7877807844901388,254
qwen,zeroshot,201803,../generate_summray/zeroshot/qwen/201803.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201803.txt,0.4170761208890462,0.19610461405164017,0.6019417426298427,0.8524084091186523,0.8322268724441528,0.8421967625617981,3.741954521695132,259
chatgpt,zeroshot,201803,../generate_summray/zeroshot/chatgpt/201803.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201803.txt,0.575713935,0.35130835109257846,0.6796116455424641,0.8689993619918823,0.8602004051208496,0.8645774722099304,4.200411170816903,67
llama,fewshot,201803,../generate_summray/fewshot/llama/201803.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201803.txt,0.49997119853279365,0.19907861737739618,0.6285714236081633,0.8386355042457581,0.8243998885154724,0.8314567804336548,3.8221134127132386,248
qwen,fewshot,201803,../generate_summray/fewshot/qwen/201803.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201803.txt,0.458365883,0.2053345701562638,0.6548672516375598,0.8244622945785522,0.8202528953552246,0.8223521709442139,3.7856350661316833,255
chatgpt,fewshot,201803,../generate_summray/fewshot/chatgpt/201803.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201803.txt,0.39657523512849996,0.4295121192466628,0.796610164,0.8560953140258789,0.8707295060157776,0.8633503913879395,4.2128727303020295,60
llama,oneshot,201808,../generate_summray/oneshot/llama/201808.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201808.txt,0.5492108722569634,0.23072426632575074,0.7157894686980609,0.8582471609115601,0.8459010124206543,0.8520293831825256,4.051902163795515,135
qwen,oneshot,201808,../generate_summray/oneshot/qwen/201808.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201808.txt,0.4843464996200912,0.30809507302716355,0.6666666616780046,0.8458563089370728,0.8594363927841187,0.8525922894477844,4.016993225494235,156
chatgpt,oneshot,201808,../generate_summray/oneshot/chatgpt/201808.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201808.txt,0.3283154519958047,0.4269768296088118,0.7547169761480956,0.8513414859771729,0.8705742955207825,0.8608505129814148,4.092775552232082,108
llama,zeroshot,201808,../generate_summray/zeroshot/llama/201808.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201808.txt,0.5190895148514653,0.2397079200170859,0.6666666616949937,0.8495112657546997,0.8449331521987915,0.84721601,3.967124524610725,183
qwen,zeroshot,201808,../generate_summray/zeroshot/qwen/201808.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201808.txt,0.6093395550472724,0.33763338838250706,0.7608695602551987,0.8838326334953308,0.8797329664230347,0.8817780613899231,4.353186164993267,25
chatgpt,zeroshot,201808,../generate_summray/zeroshot/chatgpt/201808.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201808.txt,0.46429842602718024,0.3279424418828764,0.6470588185313342,0.8548699617385864,0.8761771321296692,0.8653923869132996,4.035739167222946,148
llama,fewshot,201808,../generate_summray/fewshot/llama/201808.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201808.txt,0.4297407144384227,0.3096334780341869,0.6538461488535504,0.8460476398468018,0.8540208339691162,0.8500155210494995,3.9433043361915776,196
qwen,fewshot,201808,../generate_summray/fewshot/qwen/201808.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201808.txt,0.37395133702315114,0.20410601755781896,0.7128712821292033,0.8229870796203613,0.8293665051460266,0.8261645436286926,3.769446765105254,257
chatgpt,fewshot,201808,../generate_summray/fewshot/chatgpt/201808.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201808.txt,0.35191370939944405,0.43983505134813317,0.7155963253093174,0.8515305519104004,0.8797193765640259,0.8653954267501831,4.103990441281504,103
llama,oneshot,201901,../generate_summray/oneshot/llama/201901.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201901.txt,0.5278568667168512,0.3193583347022359,0.6990291212140637,0.8278000950813293,0.8367273211479187,0.8322397470474243,4.043011485909823,144
qwen,oneshot,201901,../generate_summray/oneshot/qwen/201901.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201901.txt,0.6182203668356921,0.3161877685342305,0.6476190426231293,0.8433526158332825,0.8565950393676758,0.8499222993850708,4.1318971325790805,93
chatgpt,oneshot,201901,../generate_summray/oneshot/chatgpt/201901.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201901.txt,0.34957172465629077,0.4185494266669963,0.7962962913117285,0.8498817682266235,0.8722765445709229,0.8609335422515869,4.147509297684149,87
llama,zeroshot,201901,../generate_summray/zeroshot/llama/201901.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201901.txt,0.5675294260027541,0.34933121567809045,0.7058823479411767,0.858497143,0.8632501363754272,0.8608670234680176,4.205357292257214,66
qwen,zeroshot,201901,../generate_summray/zeroshot/qwen/201901.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201901.txt,0.5851623950565241,0.32594776934805664,0.6857142807183674,0.8702528476715088,0.8631746768951416,0.8666993379592896,4.196951307648888,69
chatgpt,zeroshot,201901,../generate_summray/zeroshot/chatgpt/201901.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201901.txt,0.5987612030667347,0.3618452422615984,0.6476190426231293,0.8763159513473511,0.8848126530647278,0.8805437684059143,4.2498978607694555,46
llama,fewshot,201901,../generate_summray/fewshot/llama/201901.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201901.txt,0.36458107344492946,0.25516015663188263,0.6078431322549019,0.8343678712844849,0.8397843837738037,0.8370674252510071,3.738804043,260
qwen,fewshot,201901,../generate_summray/fewshot/qwen/201901.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201901.txt,0.4737859789947036,0.24875615117350916,0.6857142807183674,0.834104061,0.8404688835144043,0.8372743129730225,3.920103668500716,210
chatgpt,fewshot,201901,../generate_summray/fewshot/chatgpt/201901.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201901.txt,0.38150216944854604,0.39824052953526506,0.7207207157535914,0.8547820448875427,0.8717589378356934,0.8631869554519653,4.090191352912604,110
llama,oneshot,201908,../generate_summray/oneshot/llama/201908.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201908.txt,0.3953166583363214,0.31045924122237767,0.7010309228398344,0.8583254814147949,0.8690272569656372,0.863643229,3.9978027897866864,165
qwen,oneshot,201908,../generate_summray/oneshot/qwen/201908.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201908.txt,0.5362914377908561,0.21221357492959594,0.6458333283355036,0.8459898829460144,0.8447206020355225,0.8453547358512878,3.9304035618887805,205
chatgpt,oneshot,201908,../generate_summray/oneshot/chatgpt/201908.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201908.txt,0.3071610968425928,0.37984328646930376,0.7378640727080782,0.852279544,0.8831514716148376,0.867440939,4.027740410461045,152
llama,zeroshot,201908,../generate_summray/zeroshot/llama/201908.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201908.txt,0.4585127912829053,0.37035903806964104,0.7865168489483652,0.8681977987289429,0.8788862228393555,0.8735093474388123,4.235982047308022,52
qwen,zeroshot,201908,../generate_summray/zeroshot/qwen/201908.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201908.txt,0.5278439177441567,0.3332159641621111,0.7446808460638298,0.8658149838447571,0.8696445226669312,0.8677254915237427,4.208925726005528,63
chatgpt,zeroshot,201908,../generate_summray/zeroshot/chatgpt/201908.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201908.txt,0.4757183670683374,0.3422147012363537,0.7157894686847647,0.8671805262565613,0.8719976544380188,0.8695824146270752,4.142483132311111,89
llama,fewshot,201908,../generate_summray/fewshot/llama/201908.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201908.txt,0.3919245883797282,0.2800036165759732,0.7499999950021702,0.8472153544425964,0.8589236736297607,0.8530293107032776,3.981096538733506,177
qwen,fewshot,201908,../generate_summray/fewshot/qwen/201908.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201908.txt,0.4434100407116175,0.3007982764021855,0.6804123661388034,0.8540723919868469,0.8651504516601562,0.8595758080482483,4.003419334947858,163
chatgpt,fewshot,201908,../generate_summray/fewshot/chatgpt/201908.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201908.txt,0.3023596233934248,0.4021512656742547,0.7592592543432785,0.8458352088928223,0.8796322345733643,0.8624027371406555,4.051640324,138
llama,oneshot,201912,../generate_summray/oneshot/llama/201912.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201912.txt,0.48246099618907184,0.23346405119207692,0.7238095188136056,0.84094131,0.8308722972869873,0.8358765244483948,3.9474246978590304,195
qwen,oneshot,201912,../generate_summray/oneshot/qwen/201912.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201912.txt,0.3388682709435921,0.22615952405147635,0.7884615334689349,0.8623266220092773,0.8369802236557007,0.8494643568992615,3.9022605310282428,221
chatgpt,oneshot,201912,../generate_summray/oneshot/chatgpt/201912.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201912.txt,0.538155573,0.370089538,0.8653846103920119,0.8645749092102051,0.8580763339996338,0.8613134026527405,4.357594367816163,24
llama,zeroshot,201912,../generate_summray/zeroshot/llama/201912.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201912.txt,0.6531486247283415,0.31184211341611523,0.7663551351873527,0.8566519618034363,0.8618624210357666,0.8592492341995239,4.3091094903705365,33
qwen,zeroshot,201912,../generate_summray/zeroshot/qwen/201912.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201912.txt,0.5042180137793062,0.2760701148469847,0.799999995,0.8626718521118164,0.8495999574661255,0.856086016,4.148645948937527,86
chatgpt,zeroshot,201912,../generate_summray/zeroshot/chatgpt/201912.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201912.txt,0.5877308399922012,0.30435893771309364,0.8316831633408489,0.869641125,0.8597057461738586,0.8646448850631714,4.3177646974853525,31
llama,fewshot,201912,../generate_summray/fewshot/llama/201912.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201912.txt,0.44532798300585597,0.18229170724518348,0.7524752425487696,0.841899037,0.8166227340698242,0.8290682435035706,3.867684947734349,233
qwen,fewshot,201912,../generate_summray/fewshot/qwen/201912.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201912.txt,0.5117337954623472,0.22651807577411814,0.7407407357407407,0.8246045112609863,0.8177818059921265,0.8211789727210999,3.942557896951419,197
chatgpt,fewshot,201912,../generate_summray/fewshot/chatgpt/201912.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_201912.txt,0.5415229448407318,0.35251864722873777,0.8737864027787728,0.8676855564117432,0.8598273992538452,0.8637386560440063,4.359079606557837,22
llama,oneshot,202002,../generate_summray/oneshot/llama/202002.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202002.txt,0.42494953819479825,0.4259247653905129,0.8888888838893991,0.8628854751586914,0.8873682022094727,0.8749555945396423,4.364972459382517,21
qwen,oneshot,202002,../generate_summray/oneshot/qwen/202002.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202002.txt,0.4659386327660362,0.28408513185348583,0.7128712821331242,0.8499399423599243,0.8520592451095581,0.8509982824325562,4.015892516654684,157
chatgpt,oneshot,202002,../generate_summray/oneshot/chatgpt/202002.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202002.txt,0.342040938,0.4742756329482459,0.8235294067723953,0.8418326377868652,0.8652069568634033,0.8533597588539124,4.200245331441042,68
llama,zeroshot,202002,../generate_summray/zeroshot/llama/202002.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202002.txt,0.43571838064302065,0.4580319812088577,0.8775510154081633,0.8649430274963379,0.8976131081581116,0.8809753060340881,4.414832818948579,10
qwen,zeroshot,202002,../generate_summray/zeroshot/qwen/202002.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202002.txt,0.4354677571227465,0.31411721725798336,0.7551020358163265,0.8561941385269165,0.8641166687011719,0.8601371645927429,4.0851349820178875,117
chatgpt,zeroshot,202002,../generate_summray/zeroshot/chatgpt/202002.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202002.txt,0.4837969778994203,0.3867427012223745,0.8865979331448613,0.8675146698951721,0.884289026,0.87582159,4.384762898845788,16
llama,fewshot,202002,../generate_summray/fewshot/llama/202002.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202002.txt,0.4554484361427945,0.20904656703599175,0.7391304298038752,0.8404371738433838,0.8364448547363281,0.8384362459182739,3.9189437074806475,211
qwen,fewshot,202002,../generate_summray/fewshot/qwen/202002.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202002.txt,0.40168479269121776,0.4090791794861368,0.8514851435192627,0.8569735288619995,0.8745096921920776,0.8656527996063232,4.259385136357018,44
chatgpt,fewshot,202002,../generate_summray/fewshot/chatgpt/202002.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202002.txt,0.3165484093821346,0.4325358587268216,0.8910891039153025,0.8502675294876099,0.873843253,0.8618941903114319,4.226178344482144,55
