learning_model,model,UCE_sum,UCE_mean,UCE_std,OGE_sum,OGE_mean,OGE_std,UGE_sum,UGE_mean,UGE_std,NNE_sum,NNE_mean,NNE_std,DTE_sum,DTE_mean,DTE_std,MGE_sum,MGE_mean,MGE_std,total_hallucinations_sum,total_hallucinations_mean,total_hallucinations_std,total_files_count,UCE_percentage,OGE_percentage,UGE_percentage,NNE_percentage,DTE_percentage,MGE_percentage
fewshot,chatgpt,0,0.0,0.0,1,0.03333333333333333,0.18257418583505536,25,0.8333333333333334,0.8339078479367936,1,0.03333333333333333,0.18257418583505536,7,0.23333333333333334,0.43018306715207627,56,1.8666666666666667,1.9070347687431926,90,3.0,2.1971768720102056,30,0.0,1.1111111111111112,27.77777777777778,1.1111111111111112,7.777777777777778,62.22222222222222
fewshot,llama,0,0.0,0.0,2,0.06666666666666667,0.2537081317024624,55,1.8333333333333333,1.5554871358790012,15,0.5,0.7310832774866962,27,0.9,0.9228890171255882,232,7.733333333333333,3.8590094613758743,331,11.033333333333333,4.627379785381887,30,0.0,0.6042296072507553,16.61631419939577,4.531722054380665,8.157099697885197,70.09063444108762
fewshot,qwen,0,0.0,0.0,2,0.06666666666666667,0.2537081317024624,42,1.4,1.0034423509719619,7,0.23333333333333334,0.43018306715207627,20,0.6666666666666666,0.7111590022187596,142,4.733333333333333,2.5855478087369352,213,7.1,2.8689779509014386,30,0.0,0.9389671361502347,19.718309859154928,3.286384976525822,9.389671361502346,66.66666666666666
oneshot,chatgpt,0,0.0,0.0,8,0.26666666666666666,0.5832922809856746,63,2.1,1.7090025322311297,16,0.5333333333333333,0.7302967433402214,36,1.2,1.214850636483974,278,9.266666666666667,4.548082834696876,401,13.366666666666667,5.006777016400274,30,0.0,1.99501246882793,15.710723192019952,3.99002493765586,8.977556109725686,69.32668329177058
oneshot,llama,6,0.2,0.4842341981115022,14,0.4666666666666667,0.776079152261361,136,4.533333333333333,2.4737704480984197,51,1.7,1.3933338832974773,107,3.566666666666667,2.1444930810596348,641,21.366666666666667,10.029210211739725,955,31.833333333333332,9.958823269821599,30,0.6282722513089005,1.4659685863874345,14.24083769633508,5.340314136125655,11.204188481675391,67.12041884816755
oneshot,qwen,2,0.06666666666666667,0.3651483716701107,11,0.36666666666666664,0.6149478998583782,97,3.2333333333333334,2.0288154065914887,34,1.1333333333333333,1.0742546199601597,68,2.2666666666666666,1.5742175578808129,440,14.666666666666666,6.969556129602382,652,21.733333333333334,7.051208423375745,30,0.3067484662576687,1.687116564417178,14.877300613496933,5.214723926380368,10.429447852760736,67.48466257668711
zeroshot,chatgpt,0,0.0,0.0,11,0.36666666666666664,0.6149478998583782,79,2.6333333333333333,1.8473342085721574,16,0.5333333333333333,0.7302967433402214,48,1.6,1.4287684593190135,315,10.5,5.3675268818689865,469,15.633333333333333,5.665889060913099,30,0.0,2.345415778251599,16.844349680170577,3.411513859275053,10.23454157782516,67.16417910447761
zeroshot,llama,7,0.23333333333333334,0.5683207771559354,14,0.4666666666666667,0.776079152261361,161,5.366666666666666,2.6714755490543802,62,2.066666666666667,1.6174337556830536,122,4.066666666666666,2.462593717220109,736,24.533333333333335,11.595877190454026,1102,36.733333333333334,11.741272131433112,30,0.6352087114337568,1.2704174228675136,14.609800362976408,5.626134301270418,11.070780399274046,66.78765880217786
zeroshot,qwen,2,0.06666666666666667,0.3651483716701107,12,0.4,0.6746646676632054,118,3.933333333333333,2.2117762144910826,40,1.3333333333333333,1.0613372610104648,85,2.8333333333333335,1.8398525678065534,513,17.1,8.450056110811458,770,25.666666666666668,8.082903768654761,30,0.2597402597402597,1.5584415584415585,15.324675324675324,5.194805194805195,11.03896103896104,66.62337662337663
