learning_mode,model,file_name,file_path_x,UCE,OGE,UGE,NNE,DTE,MGE,total_hallucinations,file_path_y,reference_file,BLEU,METEOR,ROUGE-W,BERTScore-P,BERTScore-R,BERT-F1,sum,rank
zeroshot,chatgpt,202112,zeroshot/chatgpt/202112.txt,0,0,2,2,2,12,18,../generate_summray/zeroshot/chatgpt/202112.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202112.txt,0.6165690057090115,0.3367813125642184,0.7692307642381657,0.8742831945419312,0.8746687173843384,0.874475896,4.346008890796155,28
zeroshot,llama,202112,zeroshot/llama/202112.txt,0,0,4,2,5,23,34,../generate_summray/zeroshot/llama/202112.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202112.txt,0.5008066554493817,0.2042769708514118,0.6153846103920119,0.8425734043121338,0.8324984312057495,0.8375056385993958,3.833045710810085,246
zeroshot,qwen,202112,zeroshot/qwen/202112.txt,0,0,2,2,3,15,22,../generate_summray/zeroshot/qwen/202112.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202112.txt,0.4091759096111309,0.1841378877543684,0.6041666617447918,0.8367451429367065,0.8279030919075012,0.832300603,3.694429297344239,266
fewshot,chatgpt,202201,fewshot/chatgpt/202201.txt,0,0,0,0,0,1,1,../generate_summray/fewshot/chatgpt/202201.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202201.txt,0.279987882,0.4212104576502412,0.7766990241493072,0.8654736876487732,0.9011721611022948,0.8829622268676758,4.127505439822745,96
fewshot,llama,202201,fewshot/llama/202201.txt,0,0,1,0,0,5,6,../generate_summray/fewshot/llama/202201.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202201.txt,0.35181231,0.25,0.799999995,0.8448238372802734,0.8488285541534424,0.8468214273452759,3.9422861235098225,198
fewshot,qwen,202201,fewshot/qwen/202201.txt,0,0,1,0,0,2,3,../generate_summray/fewshot/qwen/202201.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202201.txt,0.3385270339950604,0.2891215158252055,0.7878787828833793,0.8397780656814575,0.862086296,0.8507859706878662,3.968177665154512,182
oneshot,chatgpt,202201,oneshot/chatgpt/202201.txt,0,0,2,0,0,6,8,../generate_summray/oneshot/chatgpt/202201.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202201.txt,0.2631461476388764,0.4138838109992254,0.7850467240248058,0.8562052845954895,0.8954818248748779,0.8754032254219055,4.089167018,112
oneshot,llama,202201,oneshot/llama/202201.txt,0,0,3,1,3,12,19,../generate_summray/oneshot/llama/202201.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202201.txt,0.4597694340376462,0.3750502657776469,0.8041237063407376,0.8707752227783203,0.892575741,0.8815407156944275,4.283835085442988,38
oneshot,qwen,202201,oneshot/qwen/202201.txt,0,0,2,1,1,10,14,../generate_summray/oneshot/qwen/202201.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202201.txt,0.400769723897354,0.3385120098722596,0.6739130384877127,0.8481403589248657,0.8736642599105835,0.8607131242752075,3.995712515367983,167
zeroshot,chatgpt,202201,zeroshot/chatgpt/202201.txt,0,0,2,0,0,7,9,../generate_summray/zeroshot/chatgpt/202201.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202201.txt,0.4128881612103629,0.3638011294433577,0.680412366,0.8595337867736816,0.8914122581481934,0.8751828074455261,4.0832305091556735,118
zeroshot,llama,202201,zeroshot/llama/202201.txt,0,0,3,2,3,14,22,../generate_summray/zeroshot/llama/202201.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202201.txt,0.4303300317469961,0.3252971079603898,0.7789473634216068,0.8616422414779663,0.8673776388168335,0.8645004630088806,4.128094846432673,95
zeroshot,qwen,202201,zeroshot/qwen/202201.txt,0,0,3,1,2,10,16,../generate_summray/zeroshot/qwen/202201.txt,/home/david/Workspace/research/manuscripts/original_summary/summary_202201.txt,0.5341746884187972,0.2693869746534721,0.7391304297920607,0.8631558418273926,0.8752182722091675,0.8691452145576477,4.150211421458538,83
